"Year","ITEM (code)","ITEM","Value","Flag"
"2012","310250","Sodium nitrate","54.0",""
"2012","3101","Organic material, total","275.0",""
"2012","310560","PK compounds","",".."
"2012","283421","Potassium nitrate ","239.0",""
"2012","310420","Potassium chloride (Muriate of potash)","43422.0",""
"2012","2510","Phosphate rock","2100.0",""
"2012","31031090","Superphosphate other","56.0",""
"2012","31031010","Superphosphate above 35%","92456.0",""
"2012","310610","NPK complex","127393.0",""
"2012","310540","Monoammonium phosphate (MAP)","16571.0",""
"2012","310530","Diammonium phosphate (DAP)","520.0",""
"2012","310430","Potassium sulphate","11324.0",""
"2012","310230","Ammonium nitrate","96458.0",""
"2011","3101","Organic material, total","108.0",""
"2011","310250","Sodium nitrate","67.0",""
"2011","283421","Potassium nitrate ","40.0",""
"2012","310280","Urea and ammonium nitrate solutions","838.0",""
"2012","310210","Urea","17683.0",""
"2012","310240","Calcium ammonium nitrate","161.0",""
"2012","310221","Ammonium sulphate","61585.0",""
"2011","31031090","Superphosphate other","",".."
"2011","2510","Phosphate rock","1883.0",""
"2011","310420","Potassium chloride (Muriate of potash)","27593.0",""
"2011","310430","Potassium sulphate","21730.0",""
"2011","310530","Diammonium phosphate (DAP)","550.0",""
"2011","310540","Monoammonium phosphate (MAP)","219.0",""
"2011","310610","NPK complex","50464.0",""
"2011","310560","PK compounds","117.0",""
"2010","310250","Sodium nitrate","29.0",""
"2010","3101","Organic material, total","88.0",""
"2011","310230","Ammonium nitrate","53937.0",""
"2011","310221","Ammonium sulphate","38474.0",""
"2011","310240","Calcium ammonium nitrate","272.0",""
"2011","310210","Urea","2838.0",""
"2011","310280","Urea and ammonium nitrate solutions","5500.0",""
"2011","31031010","Superphosphate above 35%","50177.0",""
"2010","310420","Potassium chloride (Muriate of potash)","37995.0",""
"2010","2510","Phosphate rock","2115.0",""
"2010","310530","Diammonium phosphate (DAP)","101.0",""
"2010","310430","Potassium sulphate","15414.0",""
"2010","310610","NPK complex","45491.0",""
"2010","310540","Monoammonium phosphate (MAP)","109.0",""
"2010","283421","Potassium nitrate ","166.0",""
"2010","310560","PK compounds","",".."
"2010","310230","Ammonium nitrate","57387.0",""
"2009","3101","Organic material, total","69.0",""
"2010","310240","Calcium ammonium nitrate","270.0",""
"2010","310221","Ammonium sulphate","39531.0",""
"2010","310280","Urea and ammonium nitrate solutions","10450.0",""
"2010","310210","Urea","14025.0",""
"2010","31031090","Superphosphate other","509.0",""
"2010","31031010","Superphosphate above 35%","790416.0",""
"2009","283421","Potassium nitrate ","73.0",""
"2009","310250","Sodium nitrate","52.0",""
"2009","310610","NPK complex","82851.0",""
"2009","310560","PK compounds","",".."
"2009","310530","Diammonium phosphate (DAP)","49.0",""
"2009","310540","Monoammonium phosphate (MAP)","47.0",""
"2009","310420","Potassium chloride (Muriate of potash)","26829.0",""
"2009","310430","Potassium sulphate","8251.0",""
"2009","31031090","Superphosphate other","",".."
"2009","2510","Phosphate rock","10378.0",""
"2009","310280","Urea and ammonium nitrate solutions","",".."
"2009","31031010","Superphosphate above 35%","45825.0",""
"2009","310240","Calcium ammonium nitrate","",".."
"2009","310210","Urea","11171.0",""
"2009","310230","Ammonium nitrate","34876.0",""
"2009","310221","Ammonium sulphate","17302.0",""
"2008","3101","Organic material, total","",".."
"2008","310250","Sodium nitrate","",".."
"2008","283421","Potassium nitrate ","",".."
"2008","310560","PK compounds","",".."
"2008","310610","NPK complex","",".."
"2008","310540","Monoammonium phosphate (MAP)","",".."
"2008","310530","Diammonium phosphate (DAP)","",".."
"2008","310430","Potassium sulphate","",".."
"2008","310420","Potassium chloride (Muriate of potash)","",".."
"2008","2510","Phosphate rock","",".."
"2008","31031090","Superphosphate other","",".."
"2008","31031010","Superphosphate above 35%","",".."
"2008","310280","Urea and ammonium nitrate solutions","",".."
"2008","310210","Urea","",".."
"2008","310240","Calcium ammonium nitrate","",".."
"2008","310221","Ammonium sulphate","",".."
"2007","283421","Potassium nitrate ","",".."
"2007","310250","Sodium nitrate","",".."
"2007","3101","Organic material, total","",".."
"2008","310230","Ammonium nitrate","",".."
"2007","310530","Diammonium phosphate (DAP)","",".."
"2007","310540","Monoammonium phosphate (MAP)","",".."
"2007","310610","NPK complex","",".."
"2007","310560","PK compounds","",".."
"2007","31031090","Superphosphate other","",".."
"2007","2510","Phosphate rock","",".."
"2007","310420","Potassium chloride (Muriate of potash)","",".."
"2007","310430","Potassium sulphate","",".."
"2007","310240","Calcium ammonium nitrate","",".."
"2007","310210","Urea","",".."
"2007","310280","Urea and ammonium nitrate solutions","",".."
"2007","31031010","Superphosphate above 35%","",".."
"2006","3101","Organic material, total","",".."
"2006","310250","Sodium nitrate","",".."
"2007","310221","Ammonium sulphate","",".."
"2007","310230","Ammonium nitrate","",".."
"2006","310610","NPK complex","",".."
"2006","310540","Monoammonium phosphate (MAP)","",".."
"2006","283421","Potassium nitrate ","",".."
"2006","310560","PK compounds","",".."
"2006","310420","Potassium chloride (Muriate of potash)","",".."
"2006","2510","Phosphate rock","",".."
"2006","310530","Diammonium phosphate (DAP)","",".."
"2006","310430","Potassium sulphate","",".."
"2006","310280","Urea and ammonium nitrate solutions","",".."
"2006","310210","Urea","",".."
"2006","31031090","Superphosphate other","",".."
"2006","31031010","Superphosphate above 35%","",".."
"2005","310230","Ammonium nitrate","",".."
"2005","310221","Ammonium sulphate","",".."
"2005","310240","Calcium ammonium nitrate","",".."
"2005","310210","Urea","",".."
"2006","310230","Ammonium nitrate","",".."
"2005","3101","Organic material, total","",".."
