"Year","Item (code)","Item","Value","Flag"
"2006","1640","Plywood","103903.0",""
"2006","1634","Veneer Sheets","71384.0",""
"2006","1633","Sawnwood (NC)","209560.0",""
"2006","1626","Other Industrial Roundwood (NC)","15103.0",""
"2007","1640","Plywood","128660.0",""
"2007","1634","Veneer Sheets","67928.0",""
"2007","1633","Sawnwood (NC)","205643.0",""
"2007","1626","Other Industrial Roundwood (NC)","75364.0",""
"2008","1640","Plywood","138392.0",""
"2008","1634","Veneer Sheets","69679.0",""
"2008","1633","Sawnwood (NC)","171556.0",""
"2008","1626","Other Industrial Roundwood (NC)","111699.0",""
"2009","1640","Plywood","147780.0",""
"2009","1634","Veneer Sheets","39463.0",""
"2009","1633","Sawnwood (NC)","157471.0",""
"2009","1626","Other Industrial Roundwood (NC)","64272.0",""
"2005","1634","Veneer Sheets","97924.0",""
"2005","1640","Plywood","57705.0",""
"2005","1626","Other Industrial Roundwood (NC)","333.0",""
"2005","1633","Sawnwood (NC)","253486.0",""
"2012","1640","Plywood","90914.0",""
"2012","1634","Veneer Sheets","23000.0",""
"2012","1633","Sawnwood (NC)","113622.0",""
"2012","1626","Other Industrial Roundwood (NC)","10863.0",""
"2011","1640","Plywood","112426.0",""
"2011","1634","Veneer Sheets","29692.0",""
"2011","1633","Sawnwood (NC)","132233.0",""
"2011","1626","Other Industrial Roundwood (NC)","27525.0",""
"2010","1640","Plywood","143046.0",""
"2010","1634","Veneer Sheets","40462.0",""
"2010","1633","Sawnwood (NC)","163642.0",""
"2010","1626","Other Industrial Roundwood (NC)","35430.0",""
