"Year","Item (code)","Item","Value","Flag"
"2012","2455002","Seeders, planters and transplanters","","-"
"2012","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","","-"
"2012","2455006","Root or tuber harvesting machines","","."
"2012","2455005","Balers(Straw and fodder balers including pick-up balers)","","-;."
"2012","2455008","Milking machines","","."
"2005","2455012","Track-laying tractors (Crawlers)","","."
"2005","2455010","Pedestrian controlled tractors (single axle tractors)","4.0",""
"2012","2455007","Threshing machines","","-"
"2012","2455012","Track-laying tractors (Crawlers)","","."
"2005","2455004","Combine harvesters - threshers","","."
"2005","2455013","Other agricultural tractors (two-axles tractors)","75.0",""
"2012","2455010","Pedestrian controlled tractors (single axle tractors)","","-"
"2012","2455004","Combine harvesters - threshers","","."
"2005","2455006","Root or tuber harvesting machines","","."
"2005","2455005","Balers(Straw and fodder balers including pick-up balers)","3.0","."
"2012","2455013","Other agricultural tractors (two-axles tractors)","315.0",""
"2008","2455010","Pedestrian controlled tractors (single axle tractors)","","-"
"2008","2455012","Track-laying tractors (Crawlers)","","."
"2008","2455013","Other agricultural tractors (two-axles tractors)","60.0",""
"2008","2455004","Combine harvesters - threshers","","."
"2008","2455005","Balers(Straw and fodder balers including pick-up balers)","","-;."
"2008","2455006","Root or tuber harvesting machines","","."
"2008","2455007","Threshing machines","","-"
"2008","2455008","Milking machines","","."
"2007","2455013","Other agricultural tractors (two-axles tractors)","592.0",""
"2007","2455004","Combine harvesters - threshers","","."
"2007","2455005","Balers(Straw and fodder balers including pick-up balers)","","-;."
"2007","2455006","Root or tuber harvesting machines","","."
"2007","2455007","Threshing machines","","-"
"2007","2455008","Milking machines","","."
"2007","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","4.0",""
"2007","2455002","Seeders, planters and transplanters","","-"
"2006","2455006","Root or tuber harvesting machines","","."
"2006","2455005","Balers(Straw and fodder balers including pick-up balers)","","-;."
"2006","2455008","Milking machines","","."
"2006","2455007","Threshing machines","10.0",""
"2006","2455002","Seeders, planters and transplanters","","-"
"2006","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","3.0",""
"2007","2455012","Track-laying tractors (Crawlers)","","."
"2007","2455010","Pedestrian controlled tractors (single axle tractors)","6.0",""
"2005","2455008","Milking machines","","."
"2005","2455007","Threshing machines","","-"
"2005","2455002","Seeders, planters and transplanters","","-"
"2005","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","","-"
"2006","2455012","Track-laying tractors (Crawlers)","","."
"2006","2455010","Pedestrian controlled tractors (single axle tractors)","5.0",""
"2006","2455004","Combine harvesters - threshers","","."
"2006","2455013","Other agricultural tractors (two-axles tractors)","49.0",""
"2011","2455005","Balers(Straw and fodder balers including pick-up balers)","","-;."
"2011","2455006","Root or tuber harvesting machines","","."
"2011","2455013","Other agricultural tractors (two-axles tractors)","38.0",""
"2011","2455004","Combine harvesters - threshers","","."
"2011","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","","-"
"2011","2455002","Seeders, planters and transplanters","","-"
"2011","2455007","Threshing machines","","-"
"2011","2455008","Milking machines","","."
"2010","2455007","Threshing machines","7.0",""
"2010","2455008","Milking machines","","."
"2010","2455005","Balers(Straw and fodder balers including pick-up balers)","","-;."
"2010","2455006","Root or tuber harvesting machines","","."
"2011","2455010","Pedestrian controlled tractors (single axle tractors)","","-"
"2011","2455012","Track-laying tractors (Crawlers)","","."
"2010","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","13.0",""
"2010","2455002","Seeders, planters and transplanters","","-"
"2009","2455002","Seeders, planters and transplanters","144.0",""
"2009","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","2.0",""
"2009","2455008","Milking machines","","."
"2009","2455007","Threshing machines","10.0",""
"2010","2455004","Combine harvesters - threshers","","."
"2010","2455013","Other agricultural tractors (two-axles tractors)","78.0",""
"2010","2455012","Track-laying tractors (Crawlers)","","."
"2010","2455010","Pedestrian controlled tractors (single axle tractors)","","-"
"2009","2455012","Track-laying tractors (Crawlers)","","."
"2009","2455010","Pedestrian controlled tractors (single axle tractors)","","-"
"2008","2455002","Seeders, planters and transplanters","","-"
"2008","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","","-"
"2009","2455006","Root or tuber harvesting machines","","."
"2009","2455005","Balers(Straw and fodder balers including pick-up balers)","","-;."
"2009","2455004","Combine harvesters - threshers","","."
"2009","2455013","Other agricultural tractors (two-axles tractors)","66.0",""
