"Year","Crop (code)","Crop","Value","Flag"
"2009","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2009","388","Tomatoes","317520.0",""
"2009","176","Beans, dry","204800.0",""
"2009","254","Oil palm fruit","2103600.0",""
"2009","489","Plantains","3562500.0",""
"2009","242","Groundnuts, with shell","526040.0",""
"2009","236","Soybeans","112610.0",""
"2009","195","Cow peas, dry","204830.0",""
"2010","136","Taro (cocoyam)","1354799.0",""
"2010","125","Cassava","13504086",""
"2010","83","Sorghum","324422.0",""
"2010","79","Millet","218952.0",""
"2010","56","Maize","1871695.0",""
"2010","27","Rice, paddy","491603.0",""
"2009","399","Eggplants (aubergines)","39000.0",""
"2009","430","Okra","47000.0",""
"2010","176","Beans, dry","",".."
"2010","388","Tomatoes","",".."
"2010","489","Plantains","3537734.0",""
"2010","254","Oil palm fruit","",".."
"2010","236","Soybeans","144926.0",""
"2010","242","Groundnuts, with shell","530887.0",""
"2010","137","Yams","5960486.0",""
"2010","195","Cow peas, dry","219257.0",""
"2011","83","Sorghum","287068.60764",""
"2011","125","Cassava","14240867.351",""
"2011","56","Maize","1683983.7981",""
"2011","79","Millet","183921.95176",""
"2010","399","Eggplants (aubergines)","",".."
"2011","27","Rice, paddy","463974.5623",""
"2010","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2010","430","Okra","",".."
"2007","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2007","388","Tomatoes","","..."
"2007","399","Eggplants (aubergines)","","..."
"2007","430","Okra","","..."
"2007","489","Plantains","3233745.397",""
"2007","242","Groundnuts, with shell","301774.84274",""
"2007","176","Beans, dry","118900.0",""
"2007","254","Oil palm fruit","1684500.0",""
"2008","136","Taro (cocoyam)","1688333.9108",""
"2008","125","Cassava","11351095.282",""
"2008","195","Cow peas, dry","179680.96",""
"2008","137","Yams","4894847.5785",""
"2008","56","Maize","1470075.5442",""
"2008","27","Rice, paddy","301921.4455",""
"2008","83","Sorghum","330949.85",""
"2008","79","Millet","193834.92",""
"2008","176","Beans, dry","179900.0",""
"2008","388","Tomatoes","284000.0",""
"2008","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2008","430","Okra","46600.0",""
"2008","236","Soybeans","74793.7",""
"2008","242","Groundnuts, with shell","470099.11",""
"2008","489","Plantains","3337690.1479",""
"2008","254","Oil palm fruit","1896800.0",""
"2009","83","Sorghum","350550.0",""
"2009","125","Cassava","12260629.921",""
"2009","136","Taro (cocoyam)","1503960.0",""
"2009","137","Yams","5777849.8125",""
"2008","399","Eggplants (aubergines)","38700.0",""
"2009","27","Rice, paddy","391439.56",""
"2009","56","Maize","1619589.5952",""
"2009","79","Millet","245550.43",""
"2011","137","Yams","6295453.0",""
"2011","136","Taro (cocoyam)","1299645.0644",""
"2011","236","Soybeans","164510.862",""
"2011","195","Cow peas, dry","236678.596",""
"2011","489","Plantains","3619833.8397",""
"2011","242","Groundnuts, with shell","465102.508",""
"2011","176","Beans, dry","",".."
"2011","254","Oil palm fruit","",".."
"2011","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2011","388","Tomatoes","",".."
"2011","399","Eggplants (aubergines)","",".."
"2011","430","Okra","",".."
"2012","56","Maize","1949896.51007282",""
"2012","27","Rice, paddy","481133.867",""
"2012","83","Sorghum","279983.391684977",""
"2012","79","Millet","179684.476",""
"2012","125","Cassava","14547278.5688",""
"2012","136","Taro (cocoyam)","1270265.9032",""
"2012","137","Yams","6638867.3606",""
"2012","195","Cow peas, dry","223252.504",""
"2012","236","Soybeans","151709.444",""
"2012","242","Groundnuts, with shell","475056.27",""
"2012","489","Plantains","3556524.0142",""
"2012","254","Oil palm fruit","",".."
"2012","176","Beans, dry","",".."
"2012","388","Tomatoes","",".."
"2012","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","",".."
"2012","430","Okra","",".."
"2012","399","Eggplants (aubergines)","",".."
"2004","79","Millet","143800.0",""
"2004","83","Sorghum","287400.0",""
"2004","27","Rice, paddy","241800.0",""
"2004","56","Maize","1157600.0",""
"2003","430","Okra","","..."
"2003","399","Eggplants (aubergines)","","..."
"2003","388","Tomatoes","","..."
"2003","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2004","489","Plantains","2380800.0",""
"2004","254","Oil palm fruit","1686800.0",""
"2004","236","Soybeans","36266.0",""
"2004","242","Groundnuts, with shell","389600.0",""
"2004","137","Yams","3892300.0",""
"2004","195","Cow peas, dry","141482.0",""
"2004","125","Cassava","9738200.0",""
"2004","136","Taro (cocoyam)","1715900.0",""
"2005","79","Millet","185000.0",""
"2005","56","Maize","1171390.0",""
"2005","27","Rice, paddy","236540.0",""
"2004","399","Eggplants (aubergines)","","..."
"2004","430","Okra","","..."
"2004","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2004","388","Tomatoes","","..."
"2004","176","Beans, dry","141400.0",""
"2005","489","Plantains","2791640.0",""
"2005","242","Groundnuts, with shell","420000.0",""
"2005","236","Soybeans","38780.0",""
"2005","195","Cow peas, dry","143760.0",""
"2005","137","Yams","3922720.0",""
"2005","136","Taro (cocoyam)","1685830.0",""
"2005","125","Cassava","9567200.0",""
"2005","83","Sorghum","305000.0",""
"2005","430","Okra","","..."
"2005","399","Eggplants (aubergines)","","..."
"2006","27","Rice, paddy","249999.91148",""
"2006","56","Maize","1188836.0643",""
"2005","254","Oil palm fruit","1712600.0",""
"2005","176","Beans, dry","143800.0",""
"2005","388","Tomatoes","","..."
"2005","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2006","137","Yams","4288000.4469",""
"2006","195","Cow peas, dry","166993.54",""
"2006","236","Soybeans","54328.44",""
"2006","242","Groundnuts, with shell","519997.13",""
"2006","79","Millet","165001.28",""
"2006","83","Sorghum","314996.56",""
"2006","125","Cassava","9637998.1287",""
"2006","136","Taro (cocoyam)","1653194.8223",""
"2006","430","Okra","","..."
"2006","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2007","27","Rice, paddy","185341.38131",""
"2006","399","Eggplants (aubergines)","","..."
"2006","254","Oil palm fruit","171379.0",""
"2006","489","Plantains","2899999.7142",""
"2006","388","Tomatoes","","..."
"2006","176","Beans, dry","167000.0",""
"2007","137","Yams","4375989.0515",""
"2007","136","Taro (cocoyam)","1690103.6655",""
"2007","236","Soybeans","49778.27124",""
"2007","195","Cow peas, dry","118926.81571",""
"2007","79","Millet","113042.22066",""
"2007","56","Maize","1219600.5262",""
"2007","125","Cassava","10217929.366",""
"2007","83","Sorghum","154834.43149",""
"2000","79","Millet","169400.0",""
"2000","83","Sorghum","279800.0",""
"2000","27","Rice, paddy","214600.0",""
"2000","56","Maize","1012700.0",""
"2000","137","Yams","3362900.0",""
"2000","195","Cow peas, dry","63285.0",""
"2000","125","Cassava","8106800.0",""
"2000","136","Taro (cocoyam)","1625100.0",""
"2000","489","Plantains","1932500.0",""
"2000","254","Oil palm fruit","","..."
"2000","236","Soybeans","","..."
"2000","242","Groundnuts, with shell","208600.0",""
"2000","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2000","430","Okra","","..."
"2000","176","Beans, dry","","..."
"2000","388","Tomatoes","","..."
"2001","79","Millet","134400.0",""
"2001","56","Maize","938000.0",""
"2001","27","Rice, paddy","253200.0",""
"2000","399","Eggplants (aubergines)","","..."
"2001","137","Yams","3546700.0",""
"2001","136","Taro (cocoyam)","1687500.0",""
"2001","125","Cassava","8965800.0",""
"2001","83","Sorghum","279700.0",""
"2001","489","Plantains","2073800.0",""
"2001","242","Groundnuts, with shell","286800.0",""
"2001","236","Soybeans","","..."
"2001","195","Cow peas, dry","62542.0",""
"2001","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2001","388","Tomatoes","","..."
"2001","176","Beans, dry","62500.0",""
"2001","254","Oil palm fruit","","..."
"2001","430","Okra","","..."
"2001","399","Eggplants (aubergines)","","..."
"2002","27","Rice, paddy","280000.0",""
"2002","56","Maize","1400000.0",""
"2002","79","Millet","159120.0",""
"2002","83","Sorghum","316100.0",""
"2002","125","Cassava","9731000.0",""
"2002","136","Taro (cocoyam)","1860000.0",""
"2002","137","Yams","3900000.0",""
"2002","195","Cow peas, dry","1189000.0",""
"2002","236","Soybeans","4977000.0",""
"2002","242","Groundnuts, with shell","520000.0",""
"2002","489","Plantains","2278800.0",""
"2002","254","Oil palm fruit","1612700.0",""
"2002","176","Beans, dry","140000.0",""
"2002","388","Tomatoes","","..."
"2002","430","Okra","","..."
"2002","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","","..."
"2003","27","Rice, paddy","239000.0",""
"2002","399","Eggplants (aubergines)","","..."
"2003","79","Millet","176000.0",""
"2003","56","Maize","1289000.0",""
"2003","125","Cassava","10239300",""
"2003","83","Sorghum","337700.0",""
"2003","137","Yams","3812800.0",""
"2003","136","Taro (cocoyam)","1804700.0",""
"2003","236","Soybeans","748000.0",""
"2003","195","Cow peas, dry","1797000.0",""
"2003","489","Plantains","2328600.0",""
"2003","242","Groundnuts, with shell","439000.0",""
"2003","176","Beans, dry","145600.0",""
"2003","254","Oil palm fruit","1640100.0",""
