"Year","Product (code)","Product","Value","Flag"
"2012","176","Beans, dry","",".."
"2012","489","Plantains","337293.18",""
"2012","242","Groundnuts, with shell","345186.0",""
"2012","236","Soybeans","85200.28",""
"2012","195","Cow peas, dry","168805.0",""
"2012","136","Taro (cocoyam)","196328.28",""
"2012","137","Yams","426343.26",""
"2012","83","Sorghum","230841.12",""
"2012","125","Cassava","868550.27",""
"2012","56","Maize","1042083.25813294",""
"2012","79","Millet","172470.0",""
"2011","176","Beans, dry","","..."
"2012","27","Rice, paddy","189420.0",""
"2011","242","Groundnuts, with shell","356780.3",""
"2011","489","Plantains","336497.18397",""
"2011","195","Cow peas, dry","85938.49",""
"2011","236","Soybeans","182255.275",""
"2011","136","Taro (cocoyam)","204362.67",""
"2011","137","Yams","403798.4",""
"2011","83","Sorghum","243482.12448",""
"2011","125","Cassava","889363.8736",""
"2000","79","Millet","208348.0",""
"2000","56","Maize","694735.0",""
"2000","27","Rice, paddy","115156.0",""
"2000","137","Yams","261041.0",""
"2000","136","Taro (cocoyam)","247462.0",""
"2000","125","Cassava","660091.0",""
"2000","83","Sorghum","288706.0",""
"2004","176","Beans, dry","183400.0",""
"2005","27","Rice, paddy","120000.0",""
"2005","56","Maize","740000.0",""
"2005","79","Millet","185000.0",""
"2004","195","Cow peas, dry","183426.0",""
"2004","236","Soybeans","44545.0",""
"2004","242","Groundnuts, with shell","431667.0",""
"2004","489","Plantains","281192.0",""
"2005","195","Cow peas, dry","45000.0",""
"2005","236","Soybeans","180000.0",""
"2005","242","Groundnuts, with shell","450000.0",""
"2005","489","Plantains","290000.0",""
"2005","83","Sorghum","305000.0",""
"2005","125","Cassava","750000.0",""
"2005","136","Taro (cocoyam)","255000.0",""
"2005","137","Yams","300000.0",""
"2003","236","Soybeans","",".."
"2003","195","Cow peas, dry","190350.0",""
"2003","489","Plantains","286460.0",""
"2003","242","Groundnuts, with shell","464710.0",""
"2003","125","Cassava","807240.0",""
"2003","83","Sorghum","346030.0",""
"2003","137","Yams","321410.0",""
"2003","136","Taro (cocoyam)","276670.0",""
