"Year","Species (code)","Species","Value","Flag"
"2008","866","Cattle","1422000.0",""
"2007","976","Sheep","3420000.0",""
"2008","1016","Goats","4405000.0",""
"2008","1057","Chickens","39816000",""
"2007","1057","Chickens","37038000",""
"2007","866","Cattle","1407000.0",""
"2007","1034","Pigs","491000.0",""
"2007","1016","Goats","4196000.0",""
"2006","1016","Goats","3997000.0",""
"2006","1057","Chickens","34030000",""
"2006","976","Sheep","3314000.0",""
"2006","1034","Pigs","477000.0",""
"2005","1034","Pigs","290000.0",""
"2005","1016","Goats","3923000.0",""
"2006","866","Cattle","1392000.0",""
"2005","976","Sheep","3211000.0",""
"2004","1034","Pigs","297000.0",""
"2004","976","Sheep","3112000.0",""
"2005","866","Cattle","1373000.0",""
"2005","1057","Chickens","28386000",""
"2003","976","Sheep","3015000.0",""
"2004","866","Cattle","1359000.0",""
"2004","1057","Chickens","28727000",""
"2004","1016","Goats","3925000.0",""
"2003","866","Cattle","1344000.0",""
"2003","1057","Chickens","26395000",""
"2003","1016","Goats","3560000.0",""
"2003","1034","Pigs","303000.0",""
"2002","1057","Chickens","24251000",""
"2002","1016","Goats","3230000.0",""
"2002","1034","Pigs","310000.0",""
"2002","976","Sheep","2922000.0",""
"2002","866","Cattle","1330000.0",""
"2001","976","Sheep","2771000.0",""
"2001","1034","Pigs","312000.0",""
"2001","1016","Goats","3199000.0",""
"2001","1057","Chickens","22032000",""
"2001","866","Cattle","1315000.0",""
"2000","976","Sheep","2743000.0",""
"2000","1034","Pigs","324000.0",""
"2000","1016","Goats","3077000.0",""
"2000","1057","Chickens","20472000",""
"2000","866","Cattle","1302000.0",""
"2011","976","Sheep","3887000.0",""
"2010","1034","Pigs","536000.0",""
"2010","976","Sheep","3759000.0",""
"2010","1057","Chickens","47752000",""
"2010","1016","Goats","4855000.0",""
"2011","1016","Goats","5137000.0",""
"2011","1034","Pigs","568000.0",""
"2011","866","Cattle","1498000.0",""
"2011","1057","Chickens","52575000",""
"2009","866","Cattle","1438000.0",""
"2009","1057","Chickens","43320000",""
"2008","1034","Pigs","506000.0",""
"2008","976","Sheep","3529000.0",""
"2009","976","Sheep","3642000.0",""
"2010","866","Cattle","1454000.0",""
"2009","1016","Goats","4625000.0",""
"2009","1034","Pigs","521000.0",""
