"YEAR","SPECIES (code)","SPECIES","Value","Flag"
"2012","1171","Animals Live Nes","5521.0",""
"2011","1017","Goat meat","29861.0",""
"2011","977","Sheep meat","19431.0",""
"2011","1171","Animals Live Nes","914.0",""
"2011","1035","Pig meat","5541.0",""
"2012","977","Sheep meat","91730.0",""
"2012","867","Cattle meat","221625.0",""
"2012","1035","Pig meat","23662.0",""
"2012","1017","Goat meat","143782.0",""
"2009","1035","Pig meat","14191.0",""
"2009","1171","Animals Live Nes","4357.0",""
"2010","867","Cattle meat","233491.0",""
"2010","977","Sheep meat","66754.0",""
"2010","1017","Goat meat","104425.0",""
"2010","1035","Pig meat","18196.0",""
"2010","1171","Animals Live Nes","3421.0",""
"2011","867","Cattle meat","58979.0",""
"2008","867","Cattle meat","180035.0",""
"2008","977","Sheep meat","60468.0",""
"2008","1017","Goat meat","104266.0",""
"2008","1035","Pig meat","13012.0",""
"2008","1171","Animals Live Nes","2850.0",""
"2009","867","Cattle meat","178297.0",""
"2009","977","Sheep meat","59985.0",""
"2009","1017","Goat meat","91312.0",""
"2007","867","Cattle meat","225972.0",""
"2006","1171","Animals Live Nes","1969.0",""
"2006","1035","Pig meat","10107.0",""
"2006","1017","Goat meat","103682.0",""
"2007","1171","Animals Live Nes","1862.0",""
"2007","1035","Pig meat","10098.0",""
"2007","1017","Goat meat","122106.0",""
"2007","977","Sheep meat","98956.0",""
"2005","1017","Goat meat","85460.0",""
"2005","977","Sheep meat","62621.0",""
"2005","867","Cattle meat","188289.0",""
"2006","977","Sheep meat","84939.0",""
"2006","867","Cattle meat","227597.0",""
"2005","1171","Animals Live Nes","915.0",""
"2005","1035","Pig meat","10646.0",""
