"Year","Commodity (code)","Commodity","Value","Flag"
"2005","486","Bananas","194.0",""
"2005","256","Palm kernels","",".."
"2005","257","Palm oil","688.61",""
"2005","600","Papayas","",".."
"2005","574","Pineapples","","."
"2005","571","Mangoes, mangosteens, guavas","","."
"2005","79","Millet","449.35",""
"2005","403","Onions, dry","802.81",""
"2005","490","Oranges","160.44",""
"2005","720","Ginger","","."
"2005","242","Groundnuts, with shell","","."
"2005","56","Maize","332.48",""
"2005","446","Maize, green","",".."
"2005","125","Cassava","115.06",""
"2005","689","Chillies and peppers, dry","3167.0",""
"2005","401","Chillies and peppers, green","","."
"2005","195","Cow peas, dry","511.66",""
"2006","401","Chillies and peppers, green","","."
"2006","689","Chillies and peppers, dry","3382.45",""
"2006","720","Ginger","","."
"2006","195","Cow peas, dry","499.57",""
"2005","137","Yams","266.33",""
"2005","567","Watermelons","","."
"2006","125","Cassava","115.7",""
"2006","486","Bananas","223.95",""
"2005","136","Taro (cocoyam)","228.26",""
"2005","236","Soybeans","","."
"2005","388","Tomatoes","621.15",""
"2005","826","Tobacco, unmanufactured","",".."
"2005","489","Plantains","256.01",""
"2005","223","Pistachios","",".."
"2005","83","Sorghum","385.01",""
"2005","27","Rice, paddy","","."
"2006","83","Sorghum","332.54",""
"2006","236","Soybeans","","."
"2006","489","Plantains","288.37",""
"2006","27","Rice, paddy","","."
"2006","574","Pineapples","186.08",""
"2006","223","Pistachios","",".."
"2006","257","Palm oil","690.97",""
"2006","600","Papayas","",".."
"2006","490","Oranges","201.25",""
"2006","256","Palm kernels","",".."
"2006","79","Millet","435.16",""
"2006","403","Onions, dry","766.97",""
"2006","446","Maize, green","",".."
"2006","571","Mangoes, mangosteens, guavas","","."
"2006","242","Groundnuts, with shell","","."
"2006","56","Maize","233.29",""
"2007","79","Millet","404.52",""
"2007","571","Mangoes, mangosteens, guavas","","."
"2007","446","Maize, green","",".."
"2007","56","Maize","271.1",""
"2007","242","Groundnuts, with shell","547.03",""
"2007","720","Ginger","773.3",""
"2007","195","Cow peas, dry","487.89",""
"2007","401","Chillies and peppers, green","","."
"2007","689","Chillies and peppers, dry","3411.72",""
"2007","125","Cassava","111.65",""
"2007","486","Bananas","266.07",""
"2006","137","Yams","274.0",""
"2006","567","Watermelons","","."
"2006","388","Tomatoes","608.41",""
"2006","826","Tobacco, unmanufactured","",".."
"2006","136","Taro (cocoyam)","259.17",""
"2012","826","Tobacco, unmanufactured","",".."
"2012","136","Taro (cocoyam)","832.6",""
"2012","236","Soybeans","1159.31",""
"2012","83","Sorghum","995.38",""
"2012","137","Yams","859.68",""
"2012","567","Watermelons","",".."
"2012","388","Tomatoes","2592.88",""
"2012","257","Palm oil","2313.98",""
"2012","600","Papayas","",".."
"2012","490","Oranges","565.0",""
"2012","256","Palm kernels","",".."
"2012","489","Plantains","986.17",""
"2012","27","Rice, paddy","927.86",""
"2012","574","Pineapples","601.67",""
"2012","223","Pistachios","",".."
"2012","242","Groundnuts, with shell","1939.48",""
"2012","56","Maize","896.51",""
"2012","195","Cow peas, dry","1894.47",""
"2012","720","Ginger","1742.19",""
"2012","79","Millet","1256.4",""
"2012","403","Onions, dry","2122.04",""
"2012","446","Maize, green","",".."
"2012","571","Mangoes, mangosteens, guavas","494.2",""
"2008","689","Chillies and peppers, dry","3295.21",""
"2008","401","Chillies and peppers, green","","."
"2008","486","Bananas","373.81",""
"2008","125","Cassava","163.08",""
"2008","242","Groundnuts, with shell","877.3",""
"2008","56","Maize","468.7",""
"2008","195","Cow peas, dry","845.96",""
"2008","720","Ginger","848.3",""
"2008","79","Millet","651.83",""
"2008","403","Onions, dry","1030.68",""
"2008","446","Maize, green","",".."
"2008","571","Mangoes, mangosteens, guavas","","."
"2008","257","Palm oil","1418.33",""
"2008","600","Papayas","",".."
"2008","490","Oranges","236.5",""
"2008","256","Palm kernels","",".."
"2007","257","Palm oil","893.89",""
"2007","256","Palm kernels","",".."
"2007","490","Oranges","222.5",""
"2007","403","Onions, dry","854.16",""
"2007","489","Plantains","428.92",""
"2007","223","Pistachios","",".."
"2007","574","Pineapples","213.72",""
"2007","600","Papayas","",".."
"2007","136","Taro (cocoyam)","311.61",""
"2007","236","Soybeans","","."
"2007","83","Sorghum","326.61",""
"2007","27","Rice, paddy","","."
"2007","137","Yams","327.86",""
"2007","567","Watermelons","","."
"2007","388","Tomatoes","671.6",""
"2007","826","Tobacco, unmanufactured","",".."
"2009","720","Ginger","807.7",""
"2009","242","Groundnuts, with shell","984.86",""
"2009","56","Maize","538.7",""
"2009","446","Maize, green","",".."
"2009","571","Mangoes, mangosteens, guavas","228.4",""
"2009","79","Millet","797.96",""
"2009","403","Onions, dry","1727.95",""
"2009","490","Oranges","258.5",""
"2009","256","Palm kernels","",".."
"2009","257","Palm oil","1500.0",""
"2009","600","Papayas","",".."
"2009","574","Pineapples","385.71",""
"2009","223","Pistachios","",".."
"2009","489","Plantains","500.08",""
"2009","27","Rice, paddy","","."
"2009","83","Sorghum","657.35",""
"2008","223","Pistachios","",".."
"2008","574","Pineapples","287.26",""
"2008","27","Rice, paddy","","."
"2008","489","Plantains","413.25",""
"2008","236","Soybeans","","."
"2008","83","Sorghum","541.59",""
"2008","826","Tobacco, unmanufactured","",".."
"2008","136","Taro (cocoyam)","355.51",""
"2008","567","Watermelons","",".."
"2008","388","Tomatoes","945.08",""
"2009","486","Bananas","538.0",""
"2008","137","Yams","405.05",""
"2009","689","Chillies and peppers, dry","9101.72",""
"2009","125","Cassava","201.21",""
"2009","195","Cow peas, dry","988.9",""
"2009","401","Chillies and peppers, green","","."
"2010","574","Pineapples","466.26",""
"2010","223","Pistachios","",".."
"2010","257","Palm oil","1660.0",""
"2010","600","Papayas","",".."
"2010","490","Oranges","345.0",""
"2010","256","Palm kernels","",".."
"2010","79","Millet","822.37",""
"2010","403","Onions, dry","2068.76",""
"2010","388","Tomatoes","1934.8",""
"2010","567","Watermelons","",".."
"2010","136","Taro (cocoyam)","521.45",""
"2010","826","Tobacco, unmanufactured","",".."
"2010","83","Sorghum","674.41",""
"2010","236","Soybeans","658.7",""
"2010","489","Plantains","660.72",""
"2010","27","Rice, paddy","709.17",""
"2010","125","Cassava","232.97",""
"2010","486","Bananas","628.21",""
"2009","137","Yams","480.41",""
"2009","567","Watermelons","",".."
"2009","388","Tomatoes","1690.71",""
"2009","826","Tobacco, unmanufactured","",".."
"2009","136","Taro (cocoyam)","411.12",""
"2009","236","Soybeans","533.31",""
"2010","571","Mangoes, mangosteens, guavas","297.7",""
"2010","446","Maize, green","",".."
"2010","56","Maize","491.5",""
"2010","242","Groundnuts, with shell","1082.16",""
"2010","720","Ginger","1050.2",""
"2010","195","Cow peas, dry","1064.4",""
"2010","401","Chillies and peppers, green","2357.939881",""
"2010","689","Chillies and peppers, dry","9795.68",""
"2011","27","Rice, paddy","761.11",""
"2011","83","Sorghum","763.04",""
"2011","236","Soybeans","912.28",""
"2011","136","Taro (cocoyam)","613.98",""
"2011","600","Papayas","",".."
"2011","574","Pineapples","509.62",""
"2011","223","Pistachios","",".."
"2011","489","Plantains","660.58",""
"2012","486","Bananas","893.93",""
"2012","125","Cassava","376.54",""
"2012","689","Chillies and peppers, dry","10819.17",""
"2012","401","Chillies and peppers, green","3830.38",""
"2011","826","Tobacco, unmanufactured","",".."
"2011","388","Tomatoes","2020.21",""
"2011","567","Watermelons","",".."
"2011","137","Yams","646.93",""
"2011","195","Cow peas, dry","1254.13",""
"2011","401","Chillies and peppers, green","3144.7468171",""
"2011","242","Groundnuts, with shell","1447.57",""
"2011","720","Ginger","1536.7",""
"2011","486","Bananas","722.8",""
"2010","137","Yams","584.41",""
"2011","689","Chillies and peppers, dry","8683.95",""
"2011","125","Cassava","267.25",""
"2011","490","Oranges","510.5",""
"2011","403","Onions, dry","1991.99",""
"2011","257","Palm oil","2016.67",""
"2011","256","Palm kernels","",".."
"2011","446","Maize, green","",".."
"2011","56","Maize","649.0",""
"2011","79","Millet","894.62",""
"2011","571","Mangoes, mangosteens, guavas","411.3",""
