"YEAR","COMMODITY (code)","COMMODITY","Value","Flag"
"2004","57","Germ of Maize","12.76",""
"2004","58","Flour of Maize","15.37",""
"2004","59","Bran of Maize","","."
"2004","60","Maize oil","5.39",""
"2004","49","Malt","8155.4",""
"2004","50","Malt Extract","6506.31",""
"2004","51","Beer of Barley","343.18",""
"2004","56","Maize","61.67",""
"2004","79","Millet","","."
"2004","83","Sorghum","","."
"2004","89","Buckwheat","","."
"2004","101","Canary seed","","."
"2004","71","Rye","","."
"2004","72","Flour of Rye","","."
"2004","75","Oats","36.48",""
"2004","76","Oats Rolled","910.92",""
"2004","114","Mixes and Doughs","13.9",""
"2004","113","Cereal Preparations, Nes","89.07",""
"2004","117","Potatoes Flour","5.14",""
"2004","116","Potatoes","55.29",""
"2004","108","Cereals, nes","10.24",""
"2004","105","Bran of Mixed Grains","","."
"2004","111","Flour of Cereals","6.66",""
"2004","109","Infant Food","1531.59",""
"2004","150","Flour of Roots and Tubers","2.01",""
"2004","129","Cassava Starch","19.21",""
"2004","156","Sugar cane","","."
"2004","151","Roots and Tubers Dried","","."
"2004","122","Sweet potatoes","0.4",""
"2004","118","Frozen Potatoes","267.15",""
"2004","128","Cassava Dried","","."
"2004","127","Tapioca of Cassava","0.42",""
"2004","167","Sugar, nes","136.93",""
"2004","168","Sugar Confectionery","3950.72",""
"2004","165","Molasses","4.89",""
"2004","166","Other Fructose and Syrup","0.52",""
"2004","162","Sugar Raw Centrifugal","1590.49",""
"2004","164","Sugar Refined","69262.15",""
"2004","157","Sugar beet","","."
"2004","160","Maple Sugar and Syrups","0.38",""
"2004","211","Pulses, nes","1.45",""
"2004","212","Flour of Pulses","1.57",""
"2004","191","Chick peas","3.55",""
"2004","201","Lentils","11.5",""
"2004","181","Broad beans and horse beans, dry","","."
"2004","187","Peas, dry","1.72",""
"2004","172","Glucose and Dextrose","393.63",""
"2004","176","Beans, dry","5.59",""
"2004","232","Walnuts Shelled","0.68",""
"2004","231","Almonds Shelled","1.34",""
"2004","225","Hazelnuts, with shell","","."
"2004","223","Pistachios","1.13",""
"2004","222","Walnuts, with shell","1.27",""
"2004","221","Almonds, with shell","","."
"2004","220","Chestnuts","","."
"2004","213","Bran of Pulses","","."
"2004","240","Soya Paste","40.84",""
"2004","239","Soya Sauce","97.38",""
"2004","238","Cake of Soybeans","393.12",""
"2004","237","Soybean oil","1534.27",""
"2004","236","Soybeans","0.14",""
"2004","235","Prepared Nuts (Exc.Groundnuts)","5.43",""
"2004","234","Nuts, nes","5.27",""
"2004","233","Hazelnuts Shelled","0.82",""
"2004","18","Macaroni","2609.08",""
"2004","17","Bran of Wheat","","."
"2004","16","Flour of Wheat","1295.63",""
"2004","15","Wheat","66285.9",""
"2004","28","Rice Husked","3.14",""
"2004","27","Rice, paddy","7.13",""
"2004","22","Pastry","3569.87",""
"2004","20","Bread","68.39",""
"2004","38","Rice Flour","0.45",""
"2004","35","Bran of Rice","16.14",""
"2004","32","Rice Broken","97122.94",""
"2004","29","Milled/Husked Rice","14529.69",""
"2004","48","Barley Flour and Grits","1.06",""
"2004","46","Barley Pearled","","."
"2004","44","Barley","714.4",""
"2004","41","Breakfast Cereals","598.63",""
"2005","16","Flour of Wheat","3058.54",""
"2005","15","Wheat","93296.25",""
"2004","1296","Waxes Vegetable","34.74",""
"2004","1293","Crude Materials","1832.02",""
"2004","1275","Oil Hydrogenated","0.4",""
"2004","1274","Oil Boiled Etc","0.77",""
"2004","1243","Fat Prep Nes","67.08",""
"2004","1242","Margrine Short","5323.36",""
"2005","32","Rice Broken","110485.31",""
"2005","29","Milled/Husked Rice","18815.59",""
"2005","28","Rice Husked","12.92",""
"2005","27","Rice, paddy","69.81",""
"2005","22","Pastry","838.67",""
"2005","20","Bread","78.31",""
"2005","18","Macaroni","5406.67",""
"2005","17","Bran of Wheat","","."
"2004","1164","Meat Dried Nes","17.72",""
"2004","1166","Meat nes","","."
"2004","1100","Hair of Horses","","."
"2004","1141","Rabbit meat","","."
"2004","1080","Turkey meat","","."
"2004","1097","Horse meat","","."
"2004","1064","Eggs Dried","8.6",""
"2004","1066","Fat of Ptry Rend","","."
"2004","1222","Degras","","."
"2004","1232","Food Prep Nes","4654.99",""
"2004","1183","Beeswax","10.43",""
"2004","1221","Lard Stearine Oil","","."
"2004","1173","Meal Meat","55.56",""
"2004","1182","Honey, natural","15.86",""
"2004","1168","Oils,Fats of Animal Nes","","."
"2004","1172","Prepared Meat Nes","257.61",""
"2005","101","Canary seed","","."
