"year","commodity (code)","commodity","Value","Flag"
"2012","1069","Duck meat","",".."
"2012","888","Milk Skm of Cows","1063.67402",""
"2012","977","Sheep meat","6.76223",""
"2012","1058","Chicken meat","4.98252",""
"2012","872","Meat of Beef,Drd, Sltd,Smkd","",".."
"2012","1038","Pork","5.71364",""
"2011","888","Milk Skm of Cows","2318.99747",""
"2012","947","Buffalo meat","3.075",""
"2010","1058","Chicken meat","",".."
"2010","977","Sheep meat","",".."
"2010","1038","Pork","",".."
"2010","872","Meat of Beef,Drd, Sltd,Smkd","",".."
"2010","947","Buffalo meat","2.4",""
"2009","888","Milk Skm of Cows","3441.78535",""
"2009","1069","Duck meat","",".."
"2009","1058","Chicken meat","18.0",""
"2011","1069","Duck meat","0.45675",""
"2011","1058","Chicken meat","50.21092",""
"2011","977","Sheep meat","6.00697",""
"2011","1038","Pork","",".."
"2011","872","Meat of Beef,Drd, Sltd,Smkd","0.2",""
"2011","947","Buffalo meat","9.136",""
"2010","888","Milk Skm of Cows","1468.27685",""
"2010","1069","Duck meat","",".."
"2008","947","Buffalo meat","0.8",""
"2008","872","Meat of Beef,Drd, Sltd,Smkd","",".."
"2008","1038","Pork","",".."
"2009","947","Buffalo meat","",".."
"2009","872","Meat of Beef,Drd, Sltd,Smkd","",".."
"2009","1038","Pork","",".."
"2009","977","Sheep meat","",".."
"2008","977","Sheep meat","",".."
"2008","1058","Chicken meat","",".."
"2008","1069","Duck meat","",".."
"2008","888","Milk Skm of Cows","3087.475",""
